alpha,beta,omega
1.5260756721125495,0.2573332164824242,1.2988105837319253
1.7356720375891574,0.25975620202424327,1.3776863445118084
1.8452018483956398,0.23046442535741327,1.410404946901429
1.374980070385214,0.11082074336654911,1.2017666308353327
0.560327331356901,0.17865853463244247,0.819749300397492
1.567230236176637,0.2458057043477892,1.3118150789627345
1.3535387813950372,0.05026529403919656,1.1768409366475723
1.7389358332555989,0.03361196621485317,1.3266285509289637
1.298240710211516,0.14298970679505432,1.1779682835112433
1.7198661430462887,0.09999869756428124,1.3350525566523457
1.9955154396087376,0.011083071707650853,1.4150768033665237
1.0258322170518321,0.15989042012988075,1.061020136299499
0.7565321600310111,0.11816355516240501,0.9112542905290016
1.0875121991808543,0.2661090178591761,1.1197456565411805
1.6295749847985146,0.10691104745268258,1.3024570585844437
1.1588433977874597,0.20217460843862317,1.1336677326543256
1.3825701641438222,0.174742730324214,1.2213862495527186
0.6910377078825065,0.09690331694006625,0.8669499875829331
1.5891852664009705,0.1456074963635399,1.2962214130418395
0.9201236027997493,0.11662138862779331,0.9964998598555447
0.7859263406060273,0.07889995449262796,0.9139140069852961
1.794424997874792,0.03555553599369746,1.3478305560681034
1.3466192316808911,0.025115184485726277,1.1671830284854514
1.2267484135193756,0.0745839054705192,1.1284340275082323
1.8482356478727269,0.03416259268330064,1.3673285151344536
0.6290186540915039,0.053683061112505585,0.8139843777903971
1.5442316755113392,0.046226766792536386,1.2542421635221304
0.9919734346469038,0.11825667526808292,1.0324165131813108
0.7631146249776216,0.07907041679258887,0.9014064762763743
1.5121979749509182,0.011278571233508495,1.2325774141902248
1.0442329262944041,0.01954451413860757,1.0278366833456734
0.9948437487409038,0.29711554845298116,1.0865270206138533
1.9155166478437817,0.08109190022808561,1.402212211288411
0.7989475110192292,0.021840004403930274,0.901441908151427
1.2682604867566025,0.19154283904435282,1.1781234065917385
0.5360198010070238,0.16997590374324825,0.8014079740347946
0.7450521367054342,0.12276694057287664,0.9065216349119761
1.825128100450343,0.22266623176590455,1.4015329091048963
1.6838713223790145,0.2817250414510064,1.3637996455806451
1.3352532350809854,0.12494302319450154,1.1888408743719863
0.8336800939870403,0.11884448980546629,0.9528682490855999
1.3366213739319597,0.15911317088826757,1.1983601736277483
0.5182197891704188,0.07799806892014569,0.7529731617033305
1.569490446406881,0.06045243414373156,1.2677827959657417
1.5751260208455922,0.12271749467345838,1.2852332298133688
1.4690675353495322,0.20633551795237037,1.264131019344816
1.4170080264128018,0.014283301426640537,1.194125240418463
0.6105746489368062,0.050134621826081846,0.8011921040412888
0.8696089535764633,0.24435135519746917,1.0111026409691954
1.3615670721468978,0.10632213457553213,1.1949972411083656
1.0912801490433464,0.17215521512550117,1.094932490383213
1.9880348428721675,0.026093168786837873,1.4157482379872282
1.885618036062772,0.1697243179097204,1.4112745072296697
0.7280118537838056,0.01804404707407243,0.8598193898750486
1.384940888974296,0.07010494650131531,1.1953060196190841
1.5443226591551849,0.13989007157629493,1.2774012501521865
0.7048151214513292,0.16190556743572385,0.89777842539162
0.9688934706517569,0.04633943295395236,0.9989272327091584
1.5738767703882415,0.143120642388925,1.2897004194313189
1.851662140134255,0.23634021544432468,1.413992494600646
1.012613975309203,0.21467835050436612,1.0708818536021758
0.8584155675369209,0.11703309681600305,0.9651742086519526
1.7326880040953219,0.1538819575750242,1.3523550671253877
1.3774740203385174,0.2417108098512249,1.2363427018814537
1.2148826325586557,0.08632105814717074,1.1264250058928191
0.8842250321418386,0.050663938731376285,0.9570214176542491
0.6089875229724815,0.2910120944817704,0.8893087664155729
0.526837131345463,0.2631721310391071,0.8314563808432195
1.3699552708461422,0.26351447576409326,1.238810646627926
0.7866654101901123,0.14837995583253402,0.9377648333060086
1.9632994676402307,0.020252105574653567,1.4056873882995427
0.661215842579221,0.2254594173992102,0.895615977109457
1.1781331824906627,0.23914577896003752,1.1522149514481603
1.0919896956064399,0.2898879286974654,1.1283481958342274
0.8484672129282964,0.020376362215025777,0.928009934921328
1.6231335875059025,0.24571538090613385,1.3329312437527436
1.4655571431204655,0.10767145529469523,1.2380839239242427
1.5886365275778047,0.20331101699086937,1.309849576553391
0.6242128638447421,0.2711624858562893,0.89089248369538
1.0291151235446077,0.08296925035719954,1.039697506497855
1.2797496115013476,0.2980941836786551,1.2108090172692416
1.1400817155953615,0.020976120509733347,1.073867678493931
0.5609263428091178,0.043267519861521074,0.7667910684942597
0.7910411823511898,0.14939654492453208,0.9404328912415932
1.9175369724569398,0.21849573679751846,1.4332120596601847
0.7438545871299773,0.2786832403673727,0.9581396622411501
1.778078498694163,0.25570871978952253,1.3920834919510447
1.7332057385966602,0.29144886906137973,1.3839657805596288
1.086940635617162,0.13799400543315926,1.0831375208222114
1.2001752797663952,0.12783146368358295,1.131401760900448
1.7360027114748788,0.1809405267653923,1.3598126858884825
1.5210294883553188,0.21066520333330765,1.2855719507046799
1.7554156046436065,0.2718355350005995,1.3875564183192628
1.6363948787481857,0.18168679347287203,1.3228564263247657
1.536907219160907,0.27273070537880484,1.3066613601169432
1.8694611590103172,0.13054672609569146,1.39680093886714
