alpha,beta,omega,split
1.4303201780230668,0.22564131996853104,1.253532089279646,test
1.9926447578529862,0.08777104603190122,1.4317712047517133,train
1.923415512406648,0.07248383030827839,1.403991251509175,test
1.1900677089636442,0.25601071632322664,1.1607581876427309,train
1.636593267962437,0.1840620014369932,1.322506629528959,train
1.2461340432314285,0.05283458502650893,1.1316924863650821,train
1.2939682402951556,0.11610232501299493,1.1680864147815913,train
1.6786785510707112,0.259120387284224,1.3566356425224053,train
1.1219837740335061,0.1458022386971025,1.1008921207116575,train
1.601725357683094,0.10768733972759408,1.2918238108702418,train
1.5667143169846247,0.10887662081636895,1.27834431442855,train
1.8980895299200673,0.24914681864785063,1.4324677996065438,test
0.6723989499213578,0.14174671798653907,0.8716365250785718,train
1.593522675614464,0.2850225157930706,1.3311547154182326,train
1.8911358929368398,0.10053804376145627,1.398486722427262,train
1.9518892848869696,0.2293792954590347,1.4465142800315813,train
0.5220594574480539,0.092854592880299,0.7617095699850208,train
1.7954601353683637,0.23267325257298718,1.3924872308880687,train
1.9717925600995163,0.015103413178418415,1.4078320549089645,train
1.9358152694164454,0.047648084652859246,1.4027376398960876,test
0.7231460183487468,0.08518450289356339,0.880532417166581,train
1.9589432207344324,0.2623266697431164,1.4564348351348118,train
1.834903333580781,0.10352452914051191,1.378775504274147,train
1.7335607413146057,0.1502224069482367,1.3508486269360036,train
1.2199818857117481,0.04104291081297423,1.1167683062665836,train
0.8485593794589558,0.17433670294570391,0.9779908509540097,train
1.702820868077462,0.03783841484358119,1.3145986990564185,train
1.8852952396752043,0.051064677968705806,1.3854099233514605,train
0.8991954084384388,0.24228199460541205,1.0235837677352497,test
1.3084016114332804,0.08073398301035728,1.165922014207494,train
1.1641292434617974,0.027763576216529147,1.0875220206450464,train
1.8965259739717326,0.18452921526823024,1.4172315534764834,train
0.560766066782652,0.05248504524599717,0.7698127707735458,test
1.598009293484841,0.02531684988570186,1.2708435111020882,train
1.4215598704234949,0.25086017179335646,1.2564466025497725,test
0.5425480476702815,0.1251830180767065,0.7867703134761804,train
1.5788296592401105,0.26098777206080387,1.3199247086208117,train
0.523987594285358,0.2257691257353379,0.8135053355383655,test
1.636926503534642,0.06827956869708517,1.296795545597667,train
1.269138084893117,0.03459527580693794,1.1367554267058344,test
1.8936563311955092,0.05969360319802229,1.3904305502870045,train
0.5991237450861121,0.1534282476954812,0.8324138515285006,train
1.761975919418575,0.1137469604760536,1.3539974184334311,train
0.6000350131506521,0.2512747925190284,0.8678391972151032,train
1.0164649682061877,0.14607984448553699,1.0522744811625147,train
1.1454480979217498,0.17087741312870858,1.118898752111933,train
1.9490931211761053,0.1223611508926465,1.423430729105921,train
1.3433477633426856,0.2289210981258485,1.2193100348974866,train
0.8882968897563983,0.20979253947299045,1.0081427495028947,train
0.8625135711415175,0.20887397688181478,0.9949853433660056,test
1.8321774809887699,0.2337623726366925,1.4057879426123139,train
0.8388041426259866,0.12559577732796062,0.9576477879645215,train
