alpha,beta,A,omega
1.3070759455747836,0.06299611943044468,0.5,1.1443499165421542
1.9049628190397956,0.0976666397133192,0.5,1.3815852931157009
1.9417233093093362,0.07400643836087818,0.5,1.394494240148667
1.477712911808772,0.01869220369090093,0.5,1.2159124458674841
1.1423170326014556,0.10879081290959104,0.5,1.0707785362672977
0.7170689374326201,0.13415893666838205,0.5,0.8498879460824402
0.6492428671842434,0.24005246178521666,0.5,0.8115540132811423
0.956577124025644,0.2427587207262038,0.5,0.9828834552244795
0.5149441134185444,0.1764980534251433,0.5,0.7223839482093052
1.7722066551346471,0.07727754939286204,0.5,1.3323758138782789
0.8355584214573333,0.2265629959021585,0.5,0.9189170465742603
0.7391373343942202,0.03094074670748751,0.5,0.8604335868110226
1.238021056202779,0.23156662369565087,0.5,1.116721374130938
1.4588504714263673,0.0990279729593327,0.5,1.2094291015268697
0.5605111533604455,0.2953714410062921,0.5,0.7563392759038459
0.6910898863216217,0.09149712485089388,0.5,0.833465051913462
1.9397173228731146,0.09823368527082833,0.5,1.3941142622482585
1.4150694847236545,0.2635940522723461,0.5,1.1938869826706977
1.899428678626483,0.08618756224977783,0.5,1.3794184935243057
0.816323418868861,0.2701456198186366,0.5,0.9093272140121105
1.7004935577173415,0.016149718155184546,0.5,1.3042715998145396
0.7194848179207698,0.293215124404323,0.5,0.8549494334273892
1.4313310452999732,0.25414079954324026,0.5,1.2005242272782881
1.7064451881280522,0.12860522523960766,0.5,1.3082311835982867
0.752030664956477,0.24986069047866755,0.5,0.8728063062205152
0.6367993578472486,0.27197282545854123,0.5,0.80462618422577
1.4697185598052158,0.26011157764800524,0.5,1.2165028435261016
1.2185645074103297,0.06689582309118935,0.5,1.1050690591541459
1.3070638879524294,0.01914924116909248,0.5,1.1435960410851365
1.5409375197466706,0.13944403363589847,0.5,1.2435371133627549
1.7706677935011417,0.29399461284198736,0.5,1.3349726431898452
1.4555183791529274,0.14728599081724175,0.5,1.208830731810383
1.7465170609762544,0.13048907059640338,0.5,1.3234856592711635
1.9606192293620928,0.11951883677363848,0.5,1.4018872757549241
1.9834262701391143,0.18622136063802713,0.5,1.410921876660447
1.0890395176865901,0.26422409337781577,0.5,1.0485040635754166
0.8626681004176141,0.2538378360210842,0.5,0.9341218554809579
1.7941473753489414,0.01408144685328222,0.5,1.3396631785141546
0.9955524010290446,0.12321695700329462,0.5,1.0001827650044695
1.7093631832222274,0.021928948151367117,0.5,1.307753716400527
0.8024840093129262,0.11167143616994603,0.5,0.898246166030401
0.762338493776199,0.04608022756125091,0.5,0.8741501602501199
1.1507917560248953,0.0482580221412397,0.5,1.0736278847975156
1.0876827850882251,0.21372121096014934,0.5,1.0469151206718508
0.6223606280582774,0.09560293362056117,0.5,0.7912617251281845
1.9378488898894795,0.09709605913843458,0.5,1.393428040732486
0.9862634223529163,0.18583118680709312,0.5,0.9967559646611444
0.6735904863971318,0.14284239346089259,0.5,0.8241178722680985
0.8704013034748357,0.0729657617894728,0.5,0.9344792820307666
0.6096709505928488,0.052251212032195696,0.5,0.7821202040369859
1.341565050469817,0.02533561532628788,0.5,1.1586866370781619
1.6908987873565768,0.2891671418653236,0.5,1.3046817155289987
1.5051016790161538,0.15322174925604204,0.5,1.2292627479902203
1.0989279052604555,0.15637315251688946,0.5,1.051207035521855
1.6771297055344636,0.16005940759014967,0.5,1.2974521286519414
1.1299857876714317,0.21977205238550607,0.5,1.067038253048006
