alpha,beta,A,omega
0.9712008434034534,0.13799185566354566,1.0,0.9757720167878046
0.9695717882299065,0.13175545847712608,1.0,0.9758865118735692
1.957534963429632,0.2015200452819131,0.5,1.399026680735192
1.6619962023855979,0.12833208593553222,0.5,1.289136468121979
1.6867009222592078,0.23872177996157348,0.5,1.298566922423965
1.3954815957856346,0.07071471791143857,1.0,1.1800294968345642
1.5344452331706213,0.14503487977986362,1.0,1.2337557800826653
1.2505346461053064,0.2672156450655306,0.5,1.1179482674554457
0.6156257127508081,0.20291632018265784,1.0,0.7043682194756397
1.2326738406282858,0.05383237106428089,1.5,1.098347639470695
0.6990444463201808,0.17854966832812794,0.5,0.83573942745678
1.2590973837940593,0.1670580428607253,0.5,1.1219710511218923
1.6776279388954385,0.13172389088015396,0.5,1.29518305570702
1.6531576398637498,0.028354038585329484,1.0,1.2855996728903132
1.9474516159696036,0.06941146979309216,1.5,1.3860335905752534
1.1024543358327763,0.04973388422827895,1.5,1.037841230565745
0.9428513834940437,0.12905089991050567,1.0,0.9622032851724113
1.7704975559505944,0.16065802816387081,1.5,1.2292389054897435
0.6866904987732197,0.11919249202665247,0.5,0.8285101167009916
1.6003856916105552,0.15034289857407657,0.5,1.2649938346469984
1.0887376640188737,0.23990578488047273,1.0,1.0137467070298938
0.8478498176932077,0.02496153119657985,0.5,0.9207826751521065
1.7618419890385804,0.1206965420841975,1.5,1.284458283175336
1.962039219323434,0.016065541535379806,1.0,1.4006907551154573
1.5404342520543728,0.19583808323205373,1.0,1.23161044046722
1.2822876831986263,0.15065106556473343,1.0,1.1250818447139002
0.9634522986133867,0.1400111475507653,0.5,0.9814256386699851
1.0933346315786432,0.0527047277625518,0.5,1.045611371830685
1.9114012814928527,0.02921395089474372,0.5,1.3825323774560967
0.8018048010869967,0.2074803451408192,0.5,0.8950513056300857
1.0396803897389153,0.016221757127249797,1.0,1.0195475589944363
1.462270384258405,0.02130085976378545,1.5,1.208017289122927
1.2557044252917944,0.18584045712196368,0.5,1.120427690957833
1.957397620170332,0.29689538495891654,1.0,1.3830383266985709
0.9281978431783677,0.1067545216302494,1.0,0.9575042882218043
0.8139215639266781,0.21310521059699505,0.5,0.9017794859901055
1.8575038562271944,0.026656125356575702,0.5,1.3629010012322282
1.9985388234859063,0.06617655301258232,0.5,1.413687279993581
1.7735667827889081,0.1775211947114976,0.5,1.3316699226115503
1.6411831768752239,0.2926797637948718,1.0,1.2596063042657533
0.5397268233559585,0.2575138582843223,0.5,0.733548120498902
1.170219427601678,0.05352799755558941,1.5,1.0688551570281253
1.057781854805159,0.03989543050951787,1.0,1.0278808770759633
1.2156110084560243,0.25752358197947284,0.5,1.1022328466000184
0.8337602989194086,0.2931048342735241,0.5,0.9123702234976643
1.081653673483931,0.06199652826473329,1.0,1.0385755293438643
1.687484308385511,0.020726620448829343,0.5,1.2990308580322873
1.4077048839162716,0.23288956929598933,0.5,1.1862624271579847
1.7919000271804912,0.03422019951640878,2.0,1.3230219000488115
1.598541255988407,0.19673191427806444,0.5,1.2642142507358523
0.9314234032939935,0.2244748129165594,1.0,0.9301926164138106
1.3100168076447036,0.06868386889161672,0.5,1.1445401454708481
1.660841446324717,0.03668337081291902,0.5,1.2887324949137517
1.2938342114455401,0.0500266661159928,0.5,1.1374578107001092
1.4173695955577321,0.2801895158756536,1.0,1.1648556021725291
0.7801905190307128,0.06811914671716399,1.5,0.8245517299024163
1.5120340931521663,0.014608021652436751,1.0,1.22960222837976
0.737832550980069,0.10335299522632282,1.0,0.8507665142566676
1.928043903089277,0.07610683798243834,0.5,1.3885268150990184
0.7315304488211065,0.0678711348152043,1.5,0.7844884396359386
1.265454874608028,0.14694535543831877,0.5,1.1248293886152911
1.576057589159352,0.28266301464794635,0.5,1.2551558741183118
0.7622533068464354,0.2710384221159065,0.5,0.8723521720933074
1.3054581193576889,0.17915397376065278,0.5,1.1424312478100356
1.935941550880306,0.01587640941382534,1.5,1.3909466838136166
1.6948191657026457,0.05381620239981214,0.5,1.3018440912717308
1.507381450971055,0.1705022140698859,1.0,1.2204745687442642
1.7675346373525196,0.20796787846876302,0.5,1.3293713101977662
0.5339265933305042,0.16724472208714514,1.0,0.6701330064415806
