alpha,beta,delta,F0,omega_ext,A,fit_residual
0.7998623037126624,0.20367625606591602,0.19765301507372773,1.3411810791327896,1.4647221300305555,1.8975299433048938,0.046660827780767924
0.5110434046265082,0.04751521300289959,0.013083786705069576,0.2365625894821757,1.2683262010865426,0.21499688305690415,0.143382884040359
1.6803865662532076,0.08979423242449686,0.09597650698963296,1.007827438822705,1.1830163896608705,1.565550658688016,0.012167755226495994
1.497276284888048,0.05020980390769166,0.1701043781264573,1.195973417078098,1.1140184656119942,1.828348138179813,0.014542723087535896
1.5577480679395026,0.09222102231377646,0.0715412399166648,0.9604487069533965,1.3797361269263315,1.9144818615133954,0.02113556889141107
1.6710935465329517,0.2056735987312906,0.10116171552347913,0.7937487258135602,1.394760041712249,1.5377912527481412,0.018930454359671188
1.18837366330751,0.2739948039537232,0.1958286916997162,0.9642859398959603,1.005126372102973,1.2976067786933545,0.02737480293539335
1.3531117939293407,0.06873149829801392,0.10022659893038373,0.31232919229122236,1.467394174057401,0.3843497555320983,2.093562535041344e-05
0.7096954971914862,0.16720292013570856,0.03487504930783482,0.4017989944623057,1.0765807542444674,1.565412250774868,0.03349654893044569
0.6717951103039601,0.21340341936059537,0.0198270834166143,0.4778590815388787,1.3600546484340694,0.40559631180166056,0.06535176102735973
1.5026044426857075,0.28634751586081403,0.18962914876359022,0.9368910768820533,1.4767739146575634,1.570329845788896,0.02669479649909465
1.2066443092146988,0.18691754003728042,0.060503788522262486,0.7186615032430986,1.2925606705989279,1.624922096908343,0.02613984112702678
1.3478541597217832,0.08398100999794039,0.10577214224726467,0.4422661794801753,0.9130855085158356,0.8107192691393814,0.0013176650190228176
1.6474982861240384,0.19138866550504152,0.027233335557094035,1.3359330650024122,1.2102958686217515,1.5162309579137985,0.03617939924606484
1.4520774800008862,0.10294243688662467,0.09049447290461496,0.6234905764105128,0.8831439861669049,0.8728552833584183,0.0024290119054728924
1.3303691009869938,0.29307723330059526,0.1867200486575236,0.7244444069218475,1.3523994279082485,1.4646816572658485,0.024287518685294787
1.3388107411181203,0.1259060791974547,0.10545846878987829,0.6735815071685923,0.9969206217117181,1.2359110717601183,0.009252021885990084
0.9559251470939183,0.2087740390206941,0.1945156788424423,0.35472013738745367,1.286650376142013,0.4817282286420543,0.00017879896699046533
0.546226751851909,0.01673599888055996,0.05917877107510594,1.1242778216023268,1.4370627718911393,0.740549843999194,0.0007915007500839821
1.1550760838485434,0.12601781937907905,0.10586359554374805,0.7278415671764011,0.9267068954691207,1.3152105522291466,0.014388673570449876
0.8218770092292937,0.2637812078635284,0.1733108504437718,0.12275995384980583,1.0750004870208167,0.3224807569546383,6.588748939908028e-05
1.1127929655869542,0.1869659588856413,0.09516794736521132,1.4496191833037158,1.2529831516514964,1.7462727067663377,0.04198203980294707
1.7801046099022493,0.13874343705483314,0.06310260097833602,1.2420690562335792,1.0937610149666508,1.3695183841965965,0.013552021507118298
0.8509092287980111,0.2814218748363605,0.17254031904939754,1.1129830957285247,0.9223732591373007,1.3843077724815611,0.05098674035486592
0.587454112533599,0.25765546908269643,0.0840789990857957,1.3167286187259406,0.8203501299181579,1.43526537187551,0.09060409976884017
0.9220758380329948,0.10344254540865208,0.11083742530144447,1.3695301550477703,1.084618700591374,1.88719557236113,0.042982183897975326
0.9403906366500254,0.16791903659198848,0.19554014261887767,0.5724855889382141,1.2544463186073442,1.656651189217642,0.0265411924298884
1.4928747720903426,0.15204903426681418,0.045431826003614145,0.955342149783378,1.201788945706742,1.5371225063402443,0.019603907627909617
1.3355482285119176,0.19333872503331007,0.06726612097683528,0.9523309328878318,0.9093688678324497,1.209868412325449,0.01743206789350425
1.6758473136596201,0.10689226741803912,0.015903224013269587,0.4742195363348357,1.1154854107071706,0.9595612503528582,0.09411540675554517
1.4964703104910813,0.08081945022210758,0.08444916488291002,0.4107331520258941,1.058629732326877,0.9591319994571696,0.0017931521419445554
1.1095802921601057,0.27467483222410544,0.04803485181112332,0.2594701567466309,0.9919416816053799,0.9496282201854368,0.007254685942004378
1.721030576999052,0.2779236048545668,0.1392066377274994,1.0230398742830338,1.3104898707022725,1.3941824423508298,0.020109540769536357
0.7504593798615559,0.2545636368709739,0.04445107716551195,1.1932865874430918,1.016756421019029,1.5229197334939104,0.05625646398112168
0.5340681097007907,0.2936792849217228,0.13821442295711525,1.1653341713238052,1.1780993666331205,1.6093902989432118,0.059223083034481934
0.6350717911634627,0.22604754247610967,0.060060331355970366,0.5427855280589641,1.4462564746887314,0.37267785430649236,0.0007102031165518068
1.5835390258946753,0.2317534962829799,0.07749138848302796,0.3873637906512831,1.1774931875775076,1.0314491476633405,0.005609012476564424
1.1928158453770812,0.2311511266691658,0.07628352388881551,0.7350598498364707,1.2319160371123925,1.4996183293495626,0.02589024345217663
0.7419076685504027,0.1493762129732689,0.1461828325310858,0.8655388443367148,0.8512721903172861,1.4965146644921676,0.03999519835085314
1.2515671626550453,0.1423711364091388,0.09863675999628518,1.386721979155978,0.9246939006192154,1.5066706154088592,0.03326202525623917
0.7284681540697526,0.0796656200832109,0.07864679078200978,1.3247524159836757,0.8706658395086795,1.8615050349194402,0.05390339436124649
1.544480562616604,0.19699756636419424,0.17199831661749548,1.3824816638225588,1.335369063849088,1.6584231140388381,0.02912734693986846
1.1692344133610462,0.09390283946967701,0.1186706188718285,1.2903673391903714,1.3851447566417896,2.113607987440153,0.0344623721549836
1.0715318391447237,0.08476443881368277,0.05062785604281959,1.4504136862108357,0.9305187052362044,1.7743717810957522,0.03827007481687555
0.9522681337218148,0.17992879848785587,0.1810173428472997,0.7516999960366804,0.9534902256461637,1.3935838121775455,0.02586335139553878
1.4454238896783327,0.12889489258526252,0.07510355624639171,0.1664628964063321,1.026245102644948,0.4140045468000019,0.0001745539695816865
1.0427189158300856,0.07346841655044332,0.017406081732090874,0.21698684500786952,1.2137543318676849,0.5056499226994265,0.08722491019178263
0.6314748789741516,0.24665624485832102,0.10397404255514604,0.6463865984812803,1.2352573356600136,1.6269087791667847,0.04135032893825741
0.677008853180773,0.259565276595369,0.033548230343766784,0.46076192778219616,1.2807277709790204,0.4819463834688092,0.01374777858401638
