alpha,beta,delta,F0,omega_ext,A,max_residual
1.577815625842788,0.2079128366558262,0.08484170838381885,1.4670872132554924,1.4436156203855832,1.5227282175686458,1.3325449850820378e-11
0.8539247229297733,0.08411147352663637,0.12042816429625681,1.3138172833271398,0.9869751909947615,1.7035845170026511,2.3915799751021084e-11
0.9344972927585298,0.22959175052352987,0.05218801997952946,0.876885482630616,1.4229909452556484,0.7921422635578248,1.6402414740975646e-11
0.6584584833967077,0.09180517296691505,0.11323302861501473,0.6546775522817507,1.2266782221544785,0.7611866413401397,3.1221471080354885e-12
1.3176076159842922,0.1064310406374106,0.07557176940926347,0.10602245338141947,0.9556792834693871,0.258160875363903,1.8556557551643892e-12
0.6852961504002626,0.05577274585859973,0.07608149415706353,0.9882173592397819,0.9203304577194393,1.8510351223363077,1.4525639103762925e-14
0.8258928996193124,0.05193832117752501,0.03833883418338939,0.9154927381070859,1.3015968407132075,1.0475216970690782,7.2810877754627e-12
1.2099901386137666,0.17734230937273357,0.15061403740508933,0.2811088885240889,0.8999753421614389,0.6673323595792638,9.432848011758194e-13
1.992426890678583,0.2581061382451723,0.11184370320989204,0.10678962124627141,0.9329688136462355,0.09476929168609702,2.9165410968008267e-12
1.0304300622251366,0.18383394581078602,0.08165099735502526,0.11231937088741575,1.157393433171821,0.34741459605766345,9.610875859107636e-12
0.81980268368582,0.2536452679022074,0.08633206608007722,0.8201609340537918,1.3920205618606833,0.7221833804514799,2.468842530955287e-10
0.601501219301821,0.05558600444853556,0.10233412969413763,0.7877423995249706,0.8625660791311213,1.7735368658270756,4.280717820860063e-10
1.5940785882467998,0.22852940706439426,0.16709262996915747,1.23941323468733,1.2572887630576193,1.5446754888484584,1.5982758106015412e-10
1.3945149884077566,0.2536284995160908,0.12975183757193468,1.1684114440757978,0.8302203158783372,1.2027580374281512,1.9604520134875997e-09
0.6684773873987218,0.027360285511182844,0.028823877674500537,0.8255452642090283,1.2606682749333082,0.895284356760008,1.2584698222114953e-12
0.9640110561994164,0.20580087728256752,0.038879984031800346,1.2693629857437685,1.4371354221896264,1.077932648923812,2.5841040385226207e-10
0.7542147224295326,0.18755466371769508,0.010886986985739177,0.3405068740463868,1.4257752303607807,0.2662848912979114,1.6237175688897748e-10
1.3471523396403844,0.25624732157440955,0.17435714032252042,0.8779199074706739,1.4092483091636856,1.1266084598642108,2.763750932997348e-10
1.279337892269677,0.2825126114524691,0.12483360273236144,0.3690209160830976,1.3131170188808867,0.7615789493812568,1.659895235346979e-11
1.2331496230642849,0.18553016350155907,0.17618733254351604,0.9044466656606671,1.3330564029906058,1.275655778235888,6.893107123858994e-11
0.9177587180912035,0.16509857210869616,0.12664295085097976,0.19248734960980735,1.177537964478891,0.3911735270463824,4.2962740999139225e-12
1.1813168637253106,0.28012542945278246,0.05922839403478591,0.31494975908415446,1.3281959163980612,0.5342783354014913,3.703751695151383e-12
1.433178268535705,0.25719682522725945,0.13661218753643123,0.11342751688846364,0.8972546195848496,0.17724142412205854,9.13475051149332e-12
1.4919748252826552,0.0835630460311674,0.1463681764080282,0.6533863226670202,0.8670358865551226,0.8703328073214409,4.873049402140752e-11
1.604590653756662,0.22707673738015727,0.19198837951352954,0.10313218839747651,1.1543974618442634,0.2939762475628642,2.5522980722973607e-12
1.4130841631607247,0.10870744328292975,0.025112004499734136,0.7202372255286731,1.3164705937302974,1.5895527202805548,5.329427268305065e-10
1.9321731234264823,0.20515807173722395,0.017252970836884034,0.5805693074906253,0.9504345828244717,1.6883230753963026,2.953842287496515e-10
0.7740550027229529,0.15024855031171097,0.13332454701543803,0.5940791043310024,1.3604837443272362,0.5436405491454888,1.2647239702346873e-10
0.6275131339757423,0.028940522504502735,0.15383472053050654,1.0137452372316316,1.1741605908644668,1.301483348604093,2.954362305078306e-12
1.0694882887937607,0.20092088561238944,0.065625745305827,0.5997590447547265,1.013515906686671,1.4101172417851258,3.367619172299048e-10
0.6619835560495239,0.13824598432479007,0.09413464008485373,0.66212692071136,0.9820800310527693,1.3057579648418414,5.613410809665128e-12
0.562909546612119,0.022623735873386962,0.05827303515830156,1.1296559663982098,0.9287647205110101,2.2845525723655875,4.598514097073758e-10
0.5529350692399426,0.27532348397126516,0.1488426784794074,0.9427646905433248,1.1921412766180277,0.9353346385159043,4.524617163902477e-11
0.7398409602331448,0.24657767114338383,0.16337792723038425,0.8849549142553543,1.4840235991020672,0.5954477645612596,8.860308724580376e-12
1.4735685819763584,0.15338366184539348,0.053742231077815,0.401980857161805,0.874752051784075,0.5663010751657107,1.8946775836456076e-11
0.5175133025421963,0.21380869604878838,0.1556166336286587,0.5013878837030937,1.29894894076434,0.42218381546103073,2.943879998778311e-12
1.8980482594535941,0.29449796315803695,0.10788301112875147,1.2153236479816572,0.8635830165904195,1.0222264716537,4.502963189529692e-10
1.2134625861274457,0.021103224879087182,0.07367638178806032,0.5066519584168737,1.2131104478790218,1.7892279680974768,3.359720950074911e-11
0.9739837671300204,0.16866236512042368,0.058034511488538616,0.33686303455215155,1.3369831858568562,0.4121306254785313,8.765534927859444e-11
0.836069869698652,0.10716275774326525,0.12479892034528929,1.1520426240097308,1.1861984892102924,1.4874570220690106,4.477073560523046e-10
1.8616736820690045,0.18090281034880448,0.07409685815801573,0.3865909907313566,1.0141203323399997,1.7875620728071848,1.7540606604453024e-12
0.5698035486315736,0.23837570313956646,0.17502537330786627,0.8184911649270048,1.0154804038568617,1.0606741324711872,1.7559251358264718e-09
1.0607715999873004,0.289300704334866,0.16852566642956548,0.46122062868210445,0.947680781123039,1.2536749837776575,1.6563607253469985e-10
0.9162974169007052,0.10915868568868489,0.08908598502507789,0.8909414509660418,1.1319056881465235,1.5340362600140742,3.13505371856239e-11
1.0015396081877919,0.23644400601534124,0.09305114096600668,0.4330470044201702,1.1607404940795896,1.0249612458771724,3.279260417853735e-10
1.236658100268815,0.10286768427911273,0.07759179103336247,1.3606348377801007,1.0863062032553863,1.8402433287002022,7.15055624611045e-11
0.9366406487482417,0.2118292639391585,0.08038953058350629,1.2741685606525954,0.8112672891153959,0.8624981738416652,6.255407442261997e-11
