alpha,beta,delta,F0,omega_ext,A,n_branches
1.9241504080394747,0.28672274667646414,0.053627151397813044,0.8830717039030963,0.8200271384718296,0.6836979695672181,1
1.0855023581218604,0.07827032246700094,0.1603972068092852,1.1537070760815062,1.2887822628831116,2.1613819384115383,1
1.2824452740132157,0.11905761886721705,0.02669182967997341,1.334434052498143,1.2182991579245428,1.8720361231571332,1
1.4439657224658966,0.06521948190919526,0.17251028325438897,1.0974769319925972,1.0492384635070475,1.6455123309728752,1
1.2627669925271645,0.25997783035785005,0.16483730300391802,1.3334360669067842,1.035587403976233,1.4481065742468802,1
1.6795562505175128,0.1288756956426356,0.1530979055973099,0.43229599216011894,1.165450252356636,0.989860637140445,1
1.5006894662165182,0.07975197911935417,0.033223093042221825,0.8346815623092511,1.1401290262343604,1.5937192839556813,1
1.4673095210238996,0.2966927312419944,0.13418412023345735,0.7861924794742068,1.268369197067859,1.3852778752839559,1
1.6500847160842405,0.2654268267552251,0.18619847818404084,0.30422097033163564,1.1285832853917097,0.6624547345703663,1
0.8078507132753382,0.15852206528204468,0.05904260120186717,0.28201291500885495,0.983895872278955,1.3773207426935066,1
0.9586814168247562,0.18026237658037564,0.13877830584517506,1.0452421142656416,1.0527464706715515,1.6208924025437303,1
1.1894235364798769,0.15009973984632433,0.01852968336467457,1.299751075834511,0.9418957178421059,1.5472237927941326,1
0.5123083719779831,0.11016905493055529,0.0834288864971081,1.3612605254153003,1.1446501329385121,2.1342195667099797,1
1.3721743777094315,0.1446530026915803,0.07045359415397559,0.9411235973757192,1.3834824484808939,1.8430193350008939,1
0.776082611218428,0.21695974983948058,0.12713427519689927,0.7884461481067613,1.102767362875859,1.609279292940754,1
0.688104568908253,0.15905570384744097,0.16876273707289852,0.49876662253920145,0.8966866278370482,1.4400396802352282,1
1.7985605257610535,0.2092103972009544,0.07146852618448304,0.9541841245464756,1.3635544043665186,1.5123728065415376,1
1.1663587283488357,0.038031563437400426,0.10250807849975989,1.28961125714042,1.1800341151601228,2.3744681017152494,1
1.4095090236534151,0.27716586228792506,0.011902333671895492,0.8571489591213187,1.2773309168855254,1.4684863345243362,1
1.1078953462422203,0.27952026457111706,0.19378009048256997,1.1073045722166925,1.4375973908415827,1.7225587023947009,1
0.9161072032315878,0.24284032362128538,0.03426794662177332,1.4154509803450932,1.101526886744494,1.6589724048578778,1
0.5780071377272507,0.2631127297204689,0.06981463039873743,0.7837683405106955,0.865462308795103,1.442066275270898,1
0.5941535645273441,0.24485928982875785,0.19853476576208906,0.20683823754855749,1.2964761886968446,0.18524114602708955,1
